FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
291.321	474.627	186.656	973.881	514.814	1.000	0.000	1.042	0.271	0.344	1.283	0.957	Adult115	data
497.922	871.225	376.590	856.218	531.304	0.000	0.000	1.042	0.387	0.548	1.322	1.408	Adult115	data
897.891	1121.184	226.642	1039.796	525.535	0.000	0.000	1.042	0.294	0.241	1.207	0.727	Adult115	data
1141.114	2261.036	1123.285	991.817	535.314	0.000	0.000	1.042	0.316	0.337	1.283	1.200	Adult115	data
2280.998	2517.691	239.937	1031.147	537.686	0.000	0.000	1.042	0.341	0.204	0.867	0.716	Adult115	data
2534.280	2727.645	196.647	1062.983	536.521	0.000	0.000	1.042	0.332	0.222	0.856	0.714	Adult115	data
2747.592	3560.784	816.541	992.177	537.476	0.000	0.000	1.042	0.334	0.370	1.357	1.366	Adult115	data
3587.523	3990.754	406.592	1066.179	534.362	0.000	0.000	1.042	0.379	0.315	1.098	1.646	Adult115	data
4014.044	4310.690	299.991	987.388	540.018	0.000	0.000	1.042	0.362	0.294	0.814	1.110	Adult115	data
4337.346	4730.591	396.622	1093.786	521.844	0.000	0.000	1.042	0.336	0.243	1.152	1.409	Adult115	data
4753.997	5117.251	366.616	1126.782	533.407	0.000	0.000	1.042	0.280	0.165	0.620	1.001	Adult115	data
5133.938	5483.871	353.293	1088.475	536.335	0.000	0.000	1.042	0.338	0.257	0.824	1.239	Adult115	data
5507.180	5807.152	303.331	1132.198	544.992	0.000	0.000	1.042	0.295	0.182	0.806	0.898	Adult115	data
5840.526	6017.107	179.944	874.897	550.079	0.000	0.000	1.042	0.282	0.192	0.827	0.819	Adult115	data
6037.156	6233.792	199.880	821.102	562.161	0.000	0.000	1.042	0.318	0.219	0.660	1.040	Adult115	data
6243.754	6996.939	756.516	789.264	569.524	0.000	0.000	1.042	0.327	0.381	1.314	1.585	Adult115	data
7016.966	7490.189	476.573	820.850	565.799	0.000	0.000	1.042	0.286	0.206	0.677	1.129	Adult115	data
7623.550	7916.821	296.630	979.683	557.002	0.000	0.000	1.042	0.355	0.361	0.799	1.625	Adult115	data
7936.868	8203.486	269.882	1036.705	539.204	0.000	0.000	1.042	0.263	0.150	0.717	0.848	Adult115	data
8226.776	8430.130	206.595	866.965	569.136	0.000	0.000	1.042	0.319	0.202	0.680	0.862	Adult115	data
8450.058	8683.421	236.625	832.737	566.638	0.000	0.000	1.042	0.242	0.168	0.652	0.917	Adult115	data
8713.357	8983.313	273.296	1051.251	537.147	0.000	0.000	1.042	0.286	0.167	0.782	0.811	Adult115	data
9006.698	9293.252	289.914	1006.004	532.188	0.000	0.000	1.042	0.321	0.177	0.866	0.899	Adult115	data
9319.910	9629.880	313.304	860.461	535.024	0.000	0.000	1.042	0.385	0.344	0.889	1.433	Adult115	data
9653.256	11016.369	1366.472	1000.854	523.598	0.000	0.000	1.042	0.346	0.382	1.352	1.330	Adult115	data
11039.664	11243.010	206.609	1005.396	587.810	0.000	0.000	1.042	0.517	0.976	1.420	2.428	Adult115	data
11862.912	11989.572	129.930	1230.397	535.975	1.000	0.000	1.042	0.448	0.799	1.214	1.660	Adult115	data
12016.218	12336.139	323.278	1049.190	572.630	1.000	0.093	1.042	0.714	1.603	2.197	3.674	Adult115	data
12859.403	13099.384	243.334	877.811	532.424	1.000	0.000	1.042	0.462	0.668	1.141	1.595	Adult115	data
13122.674	13629.271	509.947	836.172	535.947	0.000	0.000	1.042	0.360	0.274	0.827	1.209	Adult115	data
13652.663	13865.898	216.559	919.702	533.015	0.000	0.000	1.042	0.270	0.154	0.590	1.075	Adult115	data
13889.272	14985.757	1099.848	1009.074	556.836	0.000	0.000	1.042	0.449	0.530	1.106	2.143	Adult115	data
15009.050	15415.648	409.955	949.641	577.749	0.000	0.000	1.042	0.518	0.510	1.191	2.017	Adult115	data
15435.675	15585.639	153.310	993.859	570.907	0.000	0.000	1.042	0.556	0.433	0.701	1.429	Adult115	data
15602.309	16792.076	1193.141	976.174	510.190	0.000	0.000	1.042	0.399	0.541	1.554	1.933	Adult115	data
16848.847	17305.381	459.891	1593.877	883.310	0.000	0.000	1.042	0.342	0.696	1.399	2.045	Adult115	data
17362.042	17675.364	316.659	974.396	498.155	0.000	0.000	1.042	0.373	0.337	0.949	1.473	Adult115	data
17695.305	17921.939	229.983	937.090	492.522	0.000	0.000	1.042	0.403	0.333	1.186	1.446	Adult115	data
17941.978	18425.162	486.553	995.618	489.169	0.000	0.000	1.042	0.341	0.207	0.995	1.356	Adult115	data
18475.211	19325.127	853.173	1520.986	216.422	0.000	0.000	1.042	0.247	0.395	1.395	0.870	Adult115	data
19378.428	19651.650	276.584	911.391	490.954	0.000	0.000	1.042	0.295	0.191	0.692	0.731	Adult115	data
19671.699	20174.924	506.589	968.202	499.747	0.000	0.000	1.042	0.291	0.172	0.838	1.177	Adult115	data
20198.223	20368.201	173.333	915.112	488.715	0.000	0.000	1.042	0.341	0.173	0.615	0.822	Adult115	data
20418.254	20711.528	296.634	376.052	249.324	0.000	0.000	1.042	0.208	0.087	0.638	0.582	Adult115	data
20734.816	21318.109	586.655	421.503	243.808	0.000	0.000	1.042	0.237	0.258	0.990	0.707	Adult115	data
21361.444	21711.377	353.290	946.322	488.957	0.000	0.000	1.042	0.372	0.400	1.432	1.570	Adult115	data
21728.061	22367.906	643.208	972.198	516.676	0.000	0.000	1.042	0.379	0.416	1.236	1.672	Adult115	data
22424.651	22974.503	553.196	421.773	828.126	0.000	0.000	1.042	0.218	0.328	1.235	0.835	Adult115	data
23011.213	23221.176	213.218	872.150	542.132	0.000	0.000	1.042	0.482	0.384	0.925	1.207	Adult115	data
23241.111	23687.790	449.924	963.346	512.178	0.000	0.000	1.042	0.462	0.477	1.189	1.982	Adult115	data
23707.737	24337.605	633.235	1004.955	506.578	0.000	0.000	1.042	0.334	0.279	1.159	1.683	Adult115	data
24384.296	24764.230	383.304	1580.995	856.743	0.000	0.000	1.042	0.498	0.822	1.352	2.698	Adult115	data
24807.579	25140.823	336.602	1588.557	863.711	0.000	0.000	1.042	0.385	0.407	0.986	2.752	Adult115	data
25190.869	26310.674	1123.157	986.062	506.476	0.000	0.000	1.042	0.308	0.198	1.177	1.152	Adult115	data
26360.717	27173.907	816.548	1539.544	224.514	0.000	0.000	1.042	0.261	0.168	1.037	0.954	Adult115	data
27227.211	27377.168	153.314	913.039	433.680	0.000	0.000	1.042	0.417	0.240	0.701	1.473	Adult115	data
27400.557	28177.089	779.890	964.546	501.112	0.000	0.000	1.042	0.330	0.424	1.017	1.365	Adult115	data
28223.780	28477.075	256.542	556.654	315.519	0.000	0.000	1.042	0.201	0.087	0.523	0.603	Adult115	data
28547.064	29380.290	836.480	1530.275	804.378	0.000	0.000	1.042	0.543	1.224	1.483	4.053	Adult115	data
29416.910	29490.253	76.599	953.211	539.009	0.000	0.000	1.042	0.502	0.776	1.390	1.387	Adult115	data
29500.223	29766.832	269.979	943.210	499.293	0.000	0.000	1.042	0.368	0.234	1.018	1.055	Adult115	data
29786.877	30310.075	526.524	975.472	482.222	0.000	0.000	1.042	0.330	0.198	0.862	0.952	Adult115	data
30363.460	31076.649	716.549	395.027	206.278	0.000	0.000	1.042	0.211	0.109	0.781	0.832	Adult115	data
31093.332	31226.599	136.619	395.315	241.576	0.000	0.000	1.042	0.273	0.119	0.463	0.747	Adult115	data
31280.003	32303.145	1026.503	975.602	497.070	0.000	0.000	1.042	0.362	0.371	1.173	2.135	Adult115	data
32356.444	32733.043	379.942	370.726	186.522	0.000	0.000	1.042	0.226	0.150	0.799	0.726	Adult115	data
32749.717	33079.712	333.276	409.917	213.815	0.000	0.000	1.042	0.209	0.105	0.658	0.580	Adult115	data
33146.343	33322.948	179.947	973.250	459.518	0.000	0.000	1.042	0.286	0.199	0.659	1.031	Adult115	data
33346.333	33642.947	299.874	957.221	490.645	0.000	0.000	1.042	0.268	0.206	0.733	1.130	Adult115	data
33696.263	33942.858	249.933	1445.866	837.367	0.000	0.000	1.042	0.583	0.473	1.179	1.470	Adult115	data
33962.880	34819.382	859.867	1541.369	846.507	0.000	0.000	1.042	0.485	0.688	1.336	2.057	Adult115	data
34859.387	35225.973	369.941	1002.137	523.194	0.000	0.000	1.042	0.400	0.413	1.059	2.481	Adult115	data
35246.021	36145.862	903.203	970.253	510.136	0.000	0.000	1.042	0.323	0.237	0.787	1.375	Adult115	data
36192.455	36422.452	233.353	1453.485	314.994	0.000	0.000	1.042	0.251	0.155	0.772	0.805	Adult115	data
36449.109	37182.334	736.573	1531.473	226.157	0.000	0.000	1.042	0.243	0.116	0.789	0.764	Adult115	data
37248.975	37718.909	473.295	937.915	504.529	0.000	0.000	1.042	0.392	0.305	0.914	1.766	Adult115	data
37738.956	38358.852	623.147	973.483	504.198	0.000	0.000	1.042	0.361	0.279	1.158	1.171	Adult115	data
38402.198	38632.084	233.245	1581.289	877.316	0.000	0.000	1.042	0.530	0.851	1.510	2.232	Adult115	data
38652.116	39195.328	546.587	1558.662	857.322	0.000	0.000	1.042	0.514	0.955	1.213	3.297	Adult115	data
39242.032	39708.641	469.883	980.637	531.675	0.000	0.000	1.042	0.284	0.179	0.995	0.751	Adult115	data
39725.325	40371.884	649.808	961.615	505.687	0.000	0.000	1.042	0.305	0.239	0.853	1.244	Adult115	data
40421.815	41105.114	686.558	1537.559	860.415	0.000	0.000	1.042	0.497	0.666	1.160	2.276	Adult115	data
41155.058	42371.585	1219.774	956.192	490.214	0.000	0.000	1.042	0.342	0.497	1.453	2.146	Adult115	data
42421.528	43341.418	923.164	413.538	269.129	0.000	0.000	1.042	0.225	0.302	1.329	0.862	Adult115	data
43391.372	43711.297	323.276	932.351	475.192	0.000	0.000	1.042	0.297	0.231	1.039	0.891	Adult115	data
43737.939	44387.868	653.265	966.240	490.177	0.000	0.000	1.042	0.297	0.233	0.908	1.120	Adult115	data
44437.909	45324.423	889.885	410.334	233.656	0.000	0.000	1.042	0.219	0.172	0.913	0.787	Adult115	data
45371.033	45761.035	393.360	935.195	479.341	0.000	0.000	1.042	0.284	0.283	0.930	1.124	Adult115	data
45777.633	46334.209	559.920	961.508	496.480	0.000	0.000	1.042	0.307	0.241	1.199	1.318	Adult115	data
46390.872	47360.718	973.208	1542.719	244.531	0.000	0.000	1.042	0.242	0.186	1.010	0.765	Adult115	data
47404.057	48323.937	923.240	961.581	475.901	0.000	0.000	1.042	0.306	0.415	1.465	1.484	Adult115	data
48380.586	49137.132	759.879	400.933	245.845	0.000	0.000	1.042	0.227	0.150	0.873	0.918	Adult115	data
49210.465	50296.984	1089.878	973.284	493.897	0.000	0.000	1.042	0.300	0.324	0.948	1.658	Adult115	data
50346.924	51236.814	893.251	1546.442	223.908	0.000	0.000	1.042	0.244	0.360	1.359	1.110	Adult115	data
51296.835	51526.752	233.265	925.657	479.635	0.000	0.000	1.042	0.310	0.202	0.693	0.734	Adult115	data
51550.129	52386.633	839.832	958.588	493.048	0.000	0.000	1.042	0.328	0.217	0.812	0.972	Adult115	data
52446.612	53279.851	836.587	399.707	846.302	0.000	0.000	1.042	0.224	0.189	0.798	1.000	Adult115	data
53336.511	53839.738	506.585	945.840	512.226	0.000	0.000	1.042	0.287	0.203	1.214	0.991	Adult115	data
53859.783	54329.637	473.219	971.637	493.313	0.000	0.000	1.042	0.265	0.186	0.778	0.816	Adult115	data
54393.017	55066.229	676.567	1537.975	792.944	0.000	0.000	1.042	0.578	2.022	1.993	4.505	Adult115	data
55109.562	55309.557	203.247	998.250	519.403	0.000	0.000	1.042	0.311	0.206	0.932	0.977	Adult115	data
55336.209	56309.405	976.446	961.118	498.504	0.000	0.000	1.042	0.272	0.392	1.244	1.810	Adult115	data
56359.338	57332.544	976.563	404.425	244.357	0.000	0.000	1.042	0.226	0.178	0.869	0.886	Adult115	data
57395.803	57619.202	226.666	942.116	464.808	0.000	0.000	1.042	0.260	0.175	0.730	0.718	Adult115	data
57642.499	58302.381	663.238	951.932	495.167	0.000	0.000	1.042	0.303	0.199	0.875	0.883	Adult115	data
58389.036	58599.006	213.331	1629.616	908.587	0.000	0.000	1.042	0.429	0.271	0.731	2.380	Adult115	data
58622.324	59242.208	623.239	1560.922	854.163	0.000	0.000	1.042	0.457	0.777	1.796	2.076	Adult115	data
59295.624	60272.057	979.807	969.294	502.542	0.000	0.000	1.042	0.305	0.419	1.378	1.380	Adult115	data
60328.717	60538.708	213.329	1576.150	915.845	0.000	0.000	1.042	0.245	0.137	0.855	0.574	Adult115	data
60585.384	60778.643	196.632	1577.147	918.181	0.000	0.000	1.042	0.301	0.363	0.614	1.646	Adult115	data
60815.387	61058.616	246.571	1571.483	837.535	0.000	0.000	1.042	0.283	0.195	0.801	0.814	Adult115	data
61105.297	61378.632	276.582	977.284	504.158	0.000	0.000	1.042	0.267	0.150	0.626	0.857	Adult115	data
61398.565	61738.519	343.324	944.953	508.595	0.000	0.000	1.042	0.320	0.197	0.749	0.960	Adult115	data
61761.842	62278.489	519.926	975.228	498.630	0.000	0.000	1.042	0.330	0.216	0.997	1.220	Adult115	data
62328.430	63311.596	986.524	417.302	213.740	0.000	0.000	1.042	0.246	0.177	0.968	0.816	Adult115	data
63361.650	63608.226	249.933	926.811	458.232	0.000	0.000	1.042	0.301	0.189	0.883	0.825	Adult115	data
63638.222	64264.861	629.901	960.735	484.089	0.000	0.000	1.042	0.242	0.164	0.902	0.951	Adult115	data
64314.800	65131.345	819.906	404.957	210.853	0.000	0.000	1.042	0.201	0.176	0.765	1.173	Adult115	data
65221.376	65364.591	146.579	941.050	479.189	0.000	0.000	1.042	0.279	0.250	0.828	1.047	Adult115	data
65381.279	66411.141	1033.213	970.172	501.011	0.000	0.000	1.042	0.281	0.184	0.941	0.867	Adult115	data
66487.844	66677.760	193.277	444.673	901.771	0.000	0.000	1.042	0.193	0.075	0.430	0.591	Adult115	data
66701.077	67194.311	496.596	412.031	878.195	0.000	0.000	1.042	0.219	0.098	0.863	0.523	Adult115	data
67257.694	67484.334	230.001	915.271	515.368	0.000	0.000	1.042	0.392	0.282	0.736	1.277	Adult115	data
67501.021	68190.916	693.140	953.766	514.573	0.000	0.000	1.042	0.329	0.286	0.886	1.666	Adult115	data
68227.531	68410.840	186.668	682.879	616.980	0.000	0.000	1.042	0.621	1.341	1.969	2.201	Adult115	data
68467.507	68674.088	209.952	1460.132	251.104	0.000	0.000	1.042	0.232	0.206	0.868	0.815	Adult115	data
68694.144	69094.036	403.232	1536.972	227.269	0.000	0.000	1.042	0.203	0.120	0.700	0.665	Adult115	data
69167.363	69663.979	499.982	929.085	508.629	0.000	0.000	1.042	0.410	0.339	0.963	2.067	Adult115	data
69687.275	70287.249	603.242	968.256	521.900	0.000	0.000	1.042	0.308	0.235	1.082	1.134	Adult115	data
70373.807	71113.750	743.308	1592.317	858.010	0.000	0.000	1.042	0.204	0.216	1.191	0.607	Adult115	data
71167.065	71473.655	309.953	1012.320	514.198	0.000	0.000	1.042	0.268	0.127	0.689	0.610	Adult115	data
71493.701	71777.004	286.652	939.928	504.830	0.000	0.000	1.042	0.305	0.180	0.651	0.994	Adult115	data
71796.949	72320.227	526.618	962.249	476.258	0.000	0.000	1.042	0.275	0.210	0.830	0.964	Adult115	data
72370.265	73306.736	939.826	401.467	225.388	0.000	0.000	1.042	0.210	0.134	0.975	0.783	Adult115	data
73356.790	74339.951	986.523	955.033	519.850	0.000	0.000	1.042	0.313	0.376	1.164	1.592	Adult115	data
74389.895	75246.446	859.878	418.828	294.144	0.000	0.000	1.042	0.207	0.161	0.960	0.821	Adult115	data
75303.076	75573.049	273.336	975.962	526.532	0.000	0.000	1.042	0.411	0.390	1.296	1.675	Adult115	data
75979.635	76289.592	313.320	932.786	491.640	0.000	0.000	1.042	0.295	0.253	0.865	1.139	Adult115	data
76339.653	76722.856	386.544	1483.779	323.610	0.000	0.000	1.042	0.229	0.171	0.772	0.841	Adult115	data
76746.241	77216.100	473.214	1537.265	287.994	0.000	0.000	1.042	0.238	0.119	0.650	0.822	Adult115	data
77269.516	77419.445	153.296	1056.070	460.408	0.000	0.000	1.042	0.273	0.313	1.011	1.009	Adult115	data
77439.501	78305.980	869.842	969.914	502.329	0.000	0.000	1.042	0.298	0.440	1.175	1.522	Adult115	data
78355.921	79202.473	849.914	1544.301	824.106	0.000	0.000	1.042	0.390	0.451	1.137	1.943	Adult115	data
79259.130	79475.811	220.042	1025.948	531.618	0.000	0.000	1.042	0.269	0.171	0.499	1.083	Adult115	data
79499.097	80202.323	706.592	965.221	517.968	0.000	0.000	1.042	0.305	0.233	0.848	1.235	Adult115	data
80258.989	80449.012	193.291	1590.070	834.157	0.000	0.000	1.042	0.316	0.610	1.145	1.817	Adult115	data
80495.603	81188.850	696.603	1559.407	252.103	0.000	0.000	1.042	0.216	0.260	0.765	1.727	Adult115	data
81248.869	81595.433	349.931	1005.090	509.215	0.000	0.000	1.042	0.273	0.177	0.670	0.848	Adult115	data
81618.858	82175.375	559.875	910.943	498.915	0.000	0.000	1.042	0.231	0.133	0.662	0.819	Adult115	data
82228.677	82462.037	236.632	484.209	304.646	0.000	0.000	1.042	0.215	0.119	0.521	0.702	Adult115	data
82485.329	83315.200	833.226	416.044	254.231	0.000	0.000	1.042	0.207	0.147	0.843	0.672	Adult115	data
83365.250	84301.713	939.827	963.873	487.555	0.000	0.000	1.042	0.280	0.367	1.309	1.371	Adult115	data
84358.387	85144.924	789.890	428.815	236.306	0.000	0.000	1.042	0.204	0.266	1.277	0.956	Adult115	data
85208.301	85441.552	236.607	995.756	484.256	0.000	0.000	1.042	0.272	0.234	1.126	0.793	Adult115	data
85461.595	86311.396	853.136	979.041	513.062	0.000	0.000	1.042	0.312	0.234	1.070	1.209	Adult115	data
86368.132	86754.681	389.909	1518.571	232.581	0.000	0.000	1.042	0.207	0.141	0.804	0.811	Adult115	data
